user_key,temperature,humidity,pm2_5,pm10,risk_label,risk_label_numeric
190,20.95,83,53.96,57.75,Yellow,1
190,16.64,83,38.7,45.04,Red,2
190,17.73,82,25.41,29.47,Red,2
190,17.65,91,16.41,18.56,Red,2
190,19.84,90,3.74,4.8,Yellow,1
190,14.58,82,1.36,2.8,Red,2
190,14.58,82,1.36,2.8,Yellow,1
190,12.46,87,1.37,5.17,Red,2
190,12.46,87,1.37,5.17,Red,2
190,16.25,92,6.42,14.85,Red,2
190,16.25,92,6.42,14.85,Red,2
190,15.47,92,5.01,8.82,Red,2
190,15.47,92,5.01,8.82,Yellow,1
190,12.67,91,21.49,23.42,Red,2
190,12.67,91,21.49,23.42,Red,2
190,13.31,91,13.51,15.35,Red,2
190,13.31,91,13.51,15.35,Yellow,1
190,12.3,81,19.86,21.97,Red,2
190,12.3,81,19.86,21.97,Red,2
190,16.06,92,11.21,16.66,Red,2
190,16.06,92,11.21,16.66,Yellow,1
190,17.12,85,9.16,13.01,Red,2
190,17.12,85,9.16,13.01,Yellow,1
190,12.05,97,10.22,13.77,Red,2
190,12.05,97,10.22,13.77,Yellow,1
190,10.3,87,17.75,22.39,Red,2
190,10.3,87,17.75,22.39,Yellow,1
190,17.18,82,2.42,4.42,Yellow,1
190,17.18,82,2.42,4.42,Yellow,1
190,11.52,96,5.45,12.61,Red,2
190,11.52,96,5.45,12.61,Red,2
190,17.17,95,3.55,5.29,Red,2
190,17.17,95,3.55,5.29,Yellow,1
190,14.89,94,6.55,8.93,Yellow,1
190,14.89,94,6.55,8.93,Yellow,1
190,17.1,87,5.02,6.51,Yellow,1
190,17.1,87,5.02,6.51,Yellow,1
190,10.99,81,2.44,5.64,Yellow,1
190,10.99,81,2.44,5.64,Yellow,1
190,9.12,87,1.32,1.69,Red,2
190,9.12,87,1.32,1.69,Red,2
190,14.14,71,3.3,4.5,Red,2
190,14.14,71,3.3,4.5,Yellow,1
190,12.93,83,1.12,1.26,Red,2
190,12.93,83,1.12,1.26,Yellow,1
190,10.08,88,0.97,2.94,Red,2
190,10.08,88,0.97,2.94,Red,2
190,11.78,93,5.11,7.11,Red,2
190,11.78,93,5.11,7.11,Red,2
190,14.8,95,12.21,13.27,Red,2
190,14.8,95,12.21,13.27,Red,2
190,9.45,100,28.09,30.7,Yellow,1
190,9.45,100,28.09,30.7,Yellow,1
190,10.7,93,23.55,24.92,Red,2
190,10.7,93,23.55,24.92,Yellow,1
190,8.84,80,2.01,6.37,Yellow,1
190,8.84,80,2.01,6.37,Yellow,1
190,10.25,93,1.78,4.25,Red,2
190,10.25,93,1.78,4.25,Red,2
190,6.64,93,2.24,4.73,Red,2
190,6.64,93,2.24,4.73,Yellow,1
190,11.48,87,9.49,10.76,Red,2
